AlertID,CardHolderId,CardNumber,ExpirationDate,TransactionID,TransactionChannel,AmountUSD,MerchantName,EmailID,Location,IP,FraudAlertReason,RiskScore,Status
AL0000,CH678,xxxx-xxxx-xxxx-1950,01/2030,SYP119,In store,750.32,Barclays,qovpfrfczc@example.com,"Manchester, UK",144.170.198.243,Abnormal spending pattern,65,Investigating
AL0001,AG234,xxxx-xxxx-xxxx-3837,03/2023,KJR323,Online,350.59,Tesco,huvvbydkku@web.info,"London, UK",198.204.148.140,Incorrect expiration dates,21,Dismissed
AL0005,PO012,xxxx-xxxx-xxxx-1234,05/2033,NBI508,Online,450.12,BT Group,xytzuvpqrs@mail.net,"Helsinki, Finland",185.220.100.240,Foreign IP,70,Pending Action
AL0006,AS987,xxxx-xxxx-xxxx-6543,07/2026,ZUN739,Subscription,89.5,Vodafone,bdefghijk@test.org,"Cardiff, UK",112.215.118.231,No shopping history,34,Closed
AL0007,GH567,xxxx-xxxx-xxxx-2345,11/2027,VAE449,Telephone,23.75,BP,cmnopqrs@web.info,"Bristol, UK",88.10.150.111,Compromised card,55,Investigating
AL0009,LM456,xxxx-xxxx-xxxx-0987,08/2030,UEW398,POS,15000,Unilever,bcdefghijk@example.com,"Edinburgh, UK",200.1.2.3,High amount,77,Resolved
AL0010,QR789,xxxx-xxxx-xxxx-3456,01/2024,ZKR379,ATM,12.99,GlaxoSmithKline,defghijkl@test.org,"London, UK",10.15.20.25,Incorrect expiration dates,10,Dismissed
AL0013,WX567,xxxx-xxxx-xxxx-1098,12/2025,NCR143,Subscription,0,BHP Group,lmnoqrs@domain.co.uk,"Leeds, UK",210.10.20.30,Suspicious zero amount attempt,95,Escalated
AL0014,YZ890,xxxx-xxxx-xxxx-7654,07/2035,LWZ268,Telephone,78.9,Reckitt Benckiser,opqrs@example.com,"New York, USA",136.226.102.90,Foreign IP,50,Pending Action
AL0015,AB111,xxxx-xxxx-xxxx-2233,09/2030,CUU571,In store,100,London Stock Exchange,stuvwx@test.org,"Liverpool, UK",172.16.0.1,Abnormal spending pattern,30,Closed
AL0016,CD222,xxxx-xxxx-xxxx-4455,02/2025,LKJ345,POS,4.5,National Grid,yzabcde@mail.net,"Turin, Italy",192.0.2.1,Low value foreign,25,Fraud Detected
AL0017,EF333,xxxx-xxxx-xxxx-6677,10/2032,RRN971,ATM,18000,Severn Trent,fghijkl@web.info,"Brighton, UK",1.2.3.4,High amount,75,Investigating
AL0018,GH444,xxxx-xxxx-xxxx-8899,04/2022,UOL127,Wallet,56.78,United Utilities,mnopqrs@domain.co.uk,"London, UK",104.135.196.55,Incorrect expiration dates,20,Dismissed
